product_group,product_class,item_code,product_name,vendor_name,mrp,barcode
Regal,LB BED SET,812215,BDH-107-1-1-20,BBML(F),"26,100",812215
Regal,METAL SOFA SET,812351,SDC-201-7-2-66(1PART)//(FEBRIC-113),BBML(F),"17,000",812351
Vision-Style,VS Portable Elec,801605,Proton Tablet- Proto Note-7,PIP(E),"12,220",801605
Vision-Style,VS Portable Elec,801606,Proton FLIP COVER - Proto Note-7,PIP(E),300,801606
Vision-Style,PG VS Rice Cooker,801979,PG Vision Rice Cooker(SS) 1.8 Ltr VSNRC,PIP(E),"2,300",801979
Vision-Style,PG VS Other H.App,801982,PG Vision Sandwich Maker,PIP(E),"1,100",801982
Vision-Style,PG VS Other H.App,801986,PG Vision E. Pressure Cooker 5Ltr.,PIP(E),"3,350",801986
Winner,Infant Product,920379,Babo Water Bottle-400 ML (Winner),DPLS,100,845944070005
Regal,LB OTHER,812044,Proop Flower - 2,BBML(F),190,812044
Regal,LB OTHER,812052,Proop Flower - 10,BBML(F),145,812052
Regal,LB OTHER,812053,Proop Flower - 11,BBML(F),200,812053
Regal,LB OTHER,812954,Proop Flower - 12,BBML(F),240,812954
Regal,LB OTHER,812055,Proop Flower - 13,BBML(F),190,812055
Regal,LB OTHER,812043,Proop Flower - 1,BBML(F),190,812043
Regal,LB OTHER,812045,Proop Flower - 3,BBML(F),190,812045
Regal,LB OTHER,812046,Proop Flower - 4,BBML(F),220,812046
Regal,LB OTHER,812047,Proop Flower - 5,BBML(F),190,812047
Popular,Kitchen Rack -Popular,95614,Popular Kitchen Rack 5 Step - Red,DPL,"1,700",845944095206
Prominent,One Time Sweet Box-Prominent,914822,Sweet Box 25 Pcs Set 1000 ML - Red,DPL,320,914822
Sigma,Comfy Mattress,820076,Comfy Hospital Mattress Customize,BBMLT,"7,500",820076
Sticky,Sticky Rubber Adhesive,820077,Dragon Rubber Adhesive 200ltr,BBMLT,"37,500",820077
Sigma,Comfy Mattress,820078,"Comfy Touch Mattress  78""X59.5""X8""",BBMLT,"15,326",820078
Vision-RAC,PG VSN Refrigeration,802953,PG Vision Refrigerator (Vis - 260TS) Red,DPLE,"28,200",802953
Vision-RAC,PG VSN Refrigeration,802954,PG Vision Refrigerator (Vis - 260TS) Blue,DPLE,"28,200",802954
Vision-RAC,PG VSN Refrigeration,802957,PG Vision Glass Door Refrigerator VIS-210TG (BLUE),DPLE,"29,900",802957
Vision-RAC,PG VSN Refrigeration,802959,PG Vision Glass Door Refrigerator VIS-210TG (BROWN,DPLE,"29,900",802959
Vision-RAC,PG VSN Refrigeration,802960,PG Vision Glass Door Refrigerator VIS-260TG (BLUE),DPLE,"32,600",802960
Vision-RAC,PG VSN Refrigeration,802961,PG Vision Glass Door Refrigerator VIS-260TG (BROWN,DPLE,"32,600",802961
Vision-Style,PG VS Ind Cooker,802978,PG Vision Induction Cooker(VSN1203A),PIP(E),"3,080",802978
Vision-Style,PG VS Rice Cooker,802981,PG Vision 1.8 Ltr SS Rice Cooker.,PIP(E),"2,300",802981
Vision-Style,PG VS Rice Cooker,802980,PG Vision 2.8 Ltr Rice Cooker,PIP(E),"2,850",802980
Best Buy,General Household I,903813,ICE LOLLY MAKER 4PCS-IM,BBUY,110,903813
Best Buy,General Household I,903812,FOOD CONTAINER 6PCS-12439-IM,BBUY,555,903812
Power,Clearance Sales-2,920812,"5"" Curry Bowl -Lily",MLMN,105,845944068705
Shine,Trading Ceramic,900001,Auto Sensor Basin Tap(M),RPL,"5,714",900001
Shine,Trading Ceramic,900003,Electric Towel Warmer Stand Hanger,RPL,"2,567",900003
Regal,Comfy Metress Item,811279,King size Matress (1985X1800X100-mm),BBML(F),"13,140",811279
Prominent,Service Bowl-Prominent,76307,Siul Table Set 6 Pcs (Bowl),DPL,80,845944091253
Shine,Tissue Hold,98477,Deluxe Toilet Tissue Holder-L. Blue,RPL,247,98477
TEL Household,Classic Bucket-HH-TEL,803453,Classic Bucket 8L Black-TEL,TEL,80,803453
Sonic,BLZ MULTI PLUG & ADAPTER,706301,Multi plug( BLZ-706301),RPLE,600,706301
Sonic,BLZ MULTI PLUG & ADAPTER,706302,Multi plug( BLZ-706302),RPLE,655,706302
Sonic,BLZ MULTI PLUG & ADAPTER,706306,Multi plug( BLZ-706306),RPLE,615,706306
Sonic,BLZ MULTI PLUG & ADAPTER,706312,Multi Plug (BLZ-706312),RPLE,565,706312
Sonic,BLZ MULTI PLUG & ADAPTER,706313,Multi Plug(BLZ-706313),RPLE,605,706313
Power,Spoon,75946,Fork Spoon 12 Pcs Set-Oliva,MLMN,165,845944063731
Power,Maloti,75978,"6"" Curry Bowl -Maloti",MLMN,115,845944060501
Best Buy,Water Bottle (Local),902801,Water Bottle half steel medium,BBUY,150,902801
Best Buy,General Household L,902802,Spray bottle  Heavy,BBUY,185,902802
Best Buy,Stationary,903734,Price Tag Roll,BBUY,0,903734
Best Buy,Stationary,903735,Glube,BBUY,0,903735
Best Buy,Stationary,903736,Price Tag Gun,BBUY,0,903736
Best Buy,Stationary,903738,Register Khata,BBUY,0,903738
Best Buy,Stationary,903739,Cartoon Tape,BBUY,0,903739
Popular,Food Cont-Popular,86833,Sq Cont. 9.5 cm-Trans Blue,DPL,40,86833
Pacific,Trading-Pacific,79694,Milano Classic Soup Bowl 7 Pcs Set - Trading,DPL,560,79694
Turbine,Gas Stove-Imported,805206,Premier Single Auto GS NG (A-105),RFL,"1,400",8052060000003
TEL Household,Bowl-HH-TEL,94000,Laundry Bowl Big Black-TEL,TEL,120,94000
Prestige,Wave Bucket-Prestige,86764,Shulov Wave Bucket 10L - Red,DPL,120,86764
Spark,Door Mat-RPL,700047,"Support Door Mat (2"" x 3"") Green",RPL,709,700047
TEL Household,ACS-HH-TEL,803165,Beauty Flower Pot  Tray 19 cm -Rose Wood-TEL,TEL,12,803165
Spark,Door Mat-RPL,700032,Support Floor Mat Leaf (48X68 CM)-Gray,RPL,360,700032
Power,Clearance Sales-2,920503,"TM - 12.6"" Rtg Handle Tray",MLMN,79,920503
TEL Household,Stool-HH-TEL,803048,Design Tool Small Parrot Green-TEL,TEL,105,803048
TEL Furniture,Supreme With Arm Chair-Fur-TEL,803292,WD Big Drawer Cover (Diamond) -TEL,TEL,325,803292
TEL Furniture,Supreme With Arm Chair-Fur-TEL,803291,Supreme Chair with Arm (Stick) Rose Wood-TEL,TEL,545,803291
TEL Furniture,Supreme With Arm Chair-Fur-TEL,803290,Supreme Chair with Arm (Stick) Sandal Wood-TEL,TEL,545,803290
TEL Furniture,Supreme With Arm Chair-Fur-TEL,803289,Supreme Chair with Arm (Stick) Red-TEL,TEL,545,803289
TEL Household,Drum Bucket-HH-TEL,803663,Drum Bucket 40L Black-TEL,TEL,250,803663
TEL Household,Drum Bucket-HH-TEL,803662,Drum Bucket 50L Green With Lid-TEL,TEL,460,803662
TEL Household,Drum Bucket-HH-TEL,803654,Drum Bucket 50L Red With Lid-TEL,TEL,460,803654
TEL Furniture,Baby Chair-Fur-TEL,803031,Classic Baby Chair Green-TEL,TEL,165,803031
TEL Furniture,Baby Chair-Fur-TEL,803030,Classic Baby Chair Blue-TEL,TEL,165,845944051158
TEL Furniture,Baby Chair-Fur-TEL,803029,Classic Baby Chair Red-TEL,TEL,165,803029
Best Buy,Toys and sports (Local,903836,Bicycle  bell,BBUY,60,903836
Best Buy,Toys and sports (Local,903837,Bicycle  bell  SS,BBUY,45,903837
Best Buy,Party and Gift (Local),903839,Birthday Gift  set,BBUY,100,903839
Best Buy,Toys and sports (Local,903841,Toys Car and boat,BBUY,90,903841
Best Buy,Toys and sports (Local,903842,Toys Baby set,BBUY,95,903842
Best Buy,Toys and sports (Local,903844,TOYS BLOCK SET,BBUY,85,903844
Best Buy,Toys and sports (Local,903845,Toys Air Bus,BBUY,110,903845
Best Buy,Home Decore (Local),903850,Flower Vase plastic,BBUY,155,903850
Regal,LB OTHER,812048,Proop Flower - 6,BBML(F),250,812048
Regal,LB OTHER,812051,Proop Flower - 9,BBML(F),190,812051
Regal,LB OTHER,99599,Regal Repair Item,BBML(F),0,99599
Best Buy,General Household L,903785,Glass Cleaner with Spray,BBUY,360,903785
Best Buy,Glassware (Local),903787,Candy pot Big,BBUY,155,903787
Best Buy,Stationary,903788,PVC Insulating Tape 10 Yrds,BBUY,25,903788
Power,Bowl,920899,Smart Bowl with Lid-Tulip,MLMN,130,845944069832
Power,Clearance Sales-2,920900,Cereal Bowl With Lid-Lora,MLMN,120,845944069849
Power,Bowl,920902,Cereal Bowl With Lid-Oliva,MLMN,120,845944069863
Power,Bowl,920906,Cereal Bowl With Lid-Camellia,MLMN,120,845944069900
Goodluck,Nipple,920385,Nipple With Holder 6+ Month,DPLS,50,920385
Power,Color - Melamine,920908,"6"" Vegetable Bowl-Bubble",MLMN,50,845944070067
Power,Color - Melamine,920909,"7"" Vegetable Bowl-Bubble",MLMN,70,845944070074
Regal,METAL ROCKING CHAIR,812105,ROCKING CHAIR-RCH-202-2-1-08,BBML(F),"7,750",812105
TEL Household,Classic Bucket-HH-TEL,803465,Classic Bucket 16L Black-TEL,TEL,130,803465
Topper,TPR NS Regular,805132,TPR NS Karai without Lid - 22 cm - Eco,RFL,665,8051320000005
Spark,Door Mat-RPL,700025,Support Floor Mat Foot Step (48X68 CM)-Red,RPL,460,700025
TEL Household,Drum Bucket-HH-TEL,803659,Drum Bucket 40L Green-TEL,TEL,310,803659
TEL Household,Drum Bucket-HH-TEL,803658,Drum Bucket 50L Blue With Lid-TEL,TEL,460,803658
TEL Household,Drum Bucket-HH-TEL,803657,Drum Bucket 50L Blue-TEL,TEL,380,803657
TEL Household,Drum Bucket-HH-TEL,803651,Drum Bucket 40L Red-TEL,TEL,300,803651
Regal,WOODEN SOFA,812707,AURORA-SFC-309-3-4-20(CLASSIC)(FEBRIC-120),BBML(F),"23,750",812707
Diganta,RFL-Easybike TyreTube-D,804452,Rover Easy Bike Tyre & Tube (4.00-12),TYRE,"2,750",804452
Decent,Decent-Chain Cover and Others,804457,MS Pipe WIP Export,BCYCL,210,804457
Decent,Decent -Rickshaw and Van,804478,Decent Bakery Van (Fiber Box),BCYCL,"36,585",804478
Decent,Decent-Frame,70051,Bicycle Frame knight/Rundown-26'' -RFL00326457N,BCYCL,"1,485",70051
Decent,Decent-Frame,70052,Bicycle Frame Daisy/Extreme-20''-RFL00220279N,BCYCL,"1,265",70052
Decent,Decent-Frame,70053,Bicycle Frame Daisy/Extreme-16''- RFL00116229N,BCYCL,"1,200",70053
Decent,Decent-Mudguard and Stay,70071,"Mudguard Stay - 16""",BCYCL,30,70071
Decent,Decent-Mudguard and Stay,70072,"Mudguard Stay - 20""",BCYCL,31,70072
Prestige,Trading-Prestige,76971,PC Water Bottle - 9041 (400 ML) (Imp),DPL,195,845944045843
Prestige,Kido Bottle-Prestige,76994,Cute Water Bottle 200 ML - Trans & Pink,DPL,100,845944045577
Best Buy,Kitchenware (Local),902803,Bati  Deign ss medium china,BBUY,95,902803
Best Buy,Kitchenware (Local),902804,Bati Deign ss Small china,BBUY,90,902804
Prado,Service Bowl-Prado,76900,Star Bowl Small-Assorted,DPL,60,845944091727
Vision-Style,VS CRT TV,823001,VSN 21 INCH CRT - W01 (Red Black),PIP(E),"10,225",823001
Topper,Bright Eco. Utensils,805190,Economy Bright Lid (Sora) - 11 (BS),RFL,85,8051900000012
Vision-Style,PG VS Air Cooler,802872,PG Vision Air Cooler - 10C (10ltr),PIP(E),"10,900",802872
Power,Clearance Sales-2,920893,"9.5"" Spoon (WO Hole) -Dahlia-Topper",MLMN,40,845944069597
Topper,TPR NS Regular,805138,Topper Ruti Tawa - 26 cm - Eco Super,RFL,415,8051380000007
Topper,TPR NS Regular,805139,Topper Dosa Tawa - 26 cm - Eco Super,RFL,460,8051390000004
Prestige,Dish Cover-Prestige,910980,Aroma Dish Cover 32 CM - Assorted,DPL,70,910980
Prestige,Dish Cover-Prestige,911761,Aroma Dish Cover 25 CM - Assorted,DPL,40,845944044891
Power,Clearance Sales-2,920713,4.2 Princess Bowl With Lid-Toon,MLMN,110,845944067388
Power,Bowl,920717,"7.5"" Classic Bowl With Lid-Lilac",MLMN,255,845944065865
Vision-RAC,VSN Air Conditioner,94836,VISION AC 2 Ton-CHC,DPLE,"72,900",94836
Vision-Style,VS Ind Cooker,802831,Vision Induction Cooker(VSN1203A),PIP(E),"3,080",802831
Power,Bowl,920747,Salt Pot- Lilac,MLMN,65,845944074041
Duranta,"Complete Cycle 20""",804254,Duranta Steel 7-Spd Recoil 20 Red,BCYCL,"9,160",804254
Premium,Washing Net-Premium,72957,Multi Purpose Net Medium 32 CM - Assorted,DPL,70,845944093615
Regal,WOODEN SOFA,812376,SDC-314-3-1-20(Classic)//(Febric-116),BBML(F),"31,500",812376
Regal,WOODEN SOFA,812246,SDC-305-3-2-20//(Febric-102),BBML(F),"25,650",812246
Best Buy,General Household L,903496,Bati SS Heavy Medium,BBUY,275,903496
Duranta,Complete Cycle-26',804465,Duranta Steel 1-Spd Durjoy Ladies 26 RB,BCYCL,"9,095",804465
Topper,Bright Premium SS,805815,PB Curry Bowl - 20 cm,RFL,105,805815
Topper,Bright Premium SS,805817,PB Curry Bowl - 26 cm,RFL,175,805817
Best Buy,Garments,903809,LADIES NON PADED FULL COVER SOFT BRA 2 P,BBUY,400,903809
TEL Household,ACS-HH-TEL,803169,Beauty Flower Pot Tray -22cm - Black-TEL,TEL,14,803169
Topper,Bright Eco. Utensils,805192,Economy Bright Lid (Sora) - 13 (BS),RFL,110,8051920000009
Promising,Dorbari Table-Promising,95409,Dorbari Table 6 Seat St/Leg Print Spider Net,DPL,"4,200",845944011930
Spark,Door Mat-RPL,700028,Support Floor Mat Foot Step (48X68 CM)-Gray,RPL,460,700028
Spark,Door Mat-RPL,700035,Support Floor Mat Leaf (40X60 CM)-Green,RPL,340,700035
Spark,Door Mat-RPL,700036,Support Floor Mat Leaf (40X60 CM)-Gray,RPL,280,700036
Power,Clearance Sales-2,920809,"4"" Curry Bowl -Lily",MLMN,65,845944068675
Regal,METAL DINNING SET,812146,ASTARA-CFD-207-6-1-66,BBML(F),"2,130",812146
Sigma,Comfy Mattress,820067,"""Comfy Nexa Mattress  81""X63""X4""",BBMLT,"10,269",820067
TEL Household,Hanger-HH-TEL,99028,Wall Hanger Red - 11 hook -TEL,TEL,50,845944051660
TEL Household,Hanger-HH-TEL,99029,Wall Hanger Red - 9 hook-TEL,TEL,45,845944051417
TEL Household,Hanger-HH-TEL,99030,Wall Hanger Blue - 11 hook -TEL,TEL,50,845944050144
Goodluck,MARKER,920213,Arty sketch - Pink - 10 Pcs Pack,DPLS,10,920213
Goodluck,MARKER,920214,Arty Sketch - T.Blue  - 10 Pcs Pack,DPLS,10,920214
Regal,METAL IND-RACK,812407,Heavy Duty Rack Vertical Clamp-(132X510)(Outer),BBML(F),490,812407
Popular,Baby Potty-Popular,87068,Popular Baby Potty - Cream,DPL,400,845944096104
Prominent,One time Plate-Prominent,914905,Two Color Plate 18 CM 25 Pcs Set,DPL,190,845944092571
Prado,Hanger-Prado,82244,Kiddo Hanger 6 Pcs Set,DPL,65,845944091642
Terrific,RMIL 2 Helmet,808308,SAFE MATE 2F-128 BLACK (GRAPHIC 2),RMIL-2,"2,473",808308
Terrific,RMIL 2 Helmet,808309,SAFE MATE 2F-841 BLACK-L,RMIL-2,"1,024",808309
Terrific,RMIL 2 Helmet,808311,SAFE MATE HF-207 RED-L,RMIL-2,"1,254",808311
Terrific,RMIL 2 Helmet,808312,SAFE MATE 2F-841 RED-L,RMIL-2,"1,024",808312
Terrific,RMIL 2 Helmet,808315,SAFE MATE HF-207 BLACK-M,RMIL-2,"1,254",808315
Regal,WOODEN SOFA,811105,SSC-313-3-1-00//(Febric-116)(Classic),BBML(F),"18,900",811105
Regal,WOODEN SOFA,811657,SDC-313-3-2-00//(Febric-116)(Classic),BBML(F),"28,300",811657
Spark,Door Mat-RPL,700045,"Support Door Mat (2"" x 3"") Red",RPL,709,700045
Regal,WOODEN SOFA,811646,SDC-313-3-2-00(Febric-120)(Classic),BBML(F),"28,300",811646
Regal,WOODEN SOFA,811666,SSC-313-3-1-00(Febric-120)(Classic),BBML(F),"18,900",811666
Power,Clearance Sales-2,920784,"10"" Meat Plate -Lily",MLMN,130,845944068422
Power,Clearance Sales-2,920867,Tea Spoon 12 Pcs Set -Lily,MLMN,165,845944069337
Power,Clearance Sales-2,920885,Big Soup Spoon-Lily,MLMN,30,845944069511
Sonic,BLZ CFL LIGHT,807828,BlaZe CFL 15W B22 Spiral Day Light,RPL,265,807828
Power,Melamine -Advance,921731,"Square Plate 11"" -Assorted",MLMN,180,845944073815
Power,Tray,921734,"9.5"" Flower Tray - Assorted",MLMN,125,845944073846
Decent,D-Bicycle Tyre,804420,Duranta BicycleTyre-24''x2.125,TYRE,335,804420
Decent,Decent- Saddle,70140,Saddle Base-1501,BCYCL,18,70140
Decent,Decent- Saddle,70141,Saddle  Base-2001,BCYCL,20,70141
Decent,Decent- Saddle,70142,Saddle Base-2502,BCYCL,23,70142
Decent,Decent- Saddle,70143,Saddle Bumper Front Side-1202,BCYCL,3,70143
Prestige,Kido Bottle-Prestige,76995,Cute Water Bottle 400 ML - Trans & Pink,DPL,110,845944045584
Pacific,Kido Bottle-Pacific,76996,Pretty Water Bottle With Belt 200 ML-Pink,DPL,85,845944045591
Pacific,Kido Bottle-Pacific,76997,Pretty Water Bottle With Belt 400 ML-Pink,DPL,110,845944045607
Goodluck,COMB,920423,Princess Hair Comb-Radiant -1,DPLS,25,920423
Pioneer,Others Chair-Pioneer,82350,Bone-Lax Chair - Black,DPL,"1,450",82350
Premium,PC Bottle-Premium,95485,Ruma Bottle 600 ML-Tr Red,DPL,140,845944092717
Premium,PC Bottle-Premium,95492,Flora Bottle 450 ML-Tr Pink,DPL,110,845944092724
Premium,PC Bottle-Premium,95493,Flora Bottle 500 ML-Tr Pink,DPL,125,845944092731
Premium,PC Bottle-Premium,95494,Flora Bottle 550 ML-Tr Pink,DPL,125,845944092748
Premium,PC Bottle-Premium,95495,Hope Bottle 750 ML - Trand Green,DPL,155,845944092755
Premium,PC Bottle-Premium,95496,Hope Bottle (Printed) 1000 ML - Trans,DPL,165,845944092762
Premium,PC Bottle-Premium,95497,Paragon Bottle 350 ML,DPL,100,95497
Premium,PC Bottle-Premium,95488,Eureka Bottle 900 ML-Tr Pink,DPL,160,845944092687
Prime,Chicken Case -Prime,95600,Chicken Case Small - Black,DPL,"1,800",845944095213
Vision-Style,VS CRT TV,823004,VSN 21 INCH CRT - W04 (Full Black),PIP(E),"10,225",823004
Safer,Playtime  Toys,820655,Super cricket set,BBMLT,800,845944091109
TEL Household,ACS-HH-TEL,92879,"Flower Tub 11""-SW (7L)-TEL",TEL,42,92879
Duranta,Complete Cycle-26',804386,Duranta Steel 1-Spd Racer Masti 26 Red,BCYCL,"9,095",804386
Diganta,RFL-Tyre and Tube for IC,804387,Duranta Cycle Tyre-16InX1.95 (D-1635)-IC,TYRE,180,804387
Diganta,RFL-Tyre and Tube for IC,804388,Duranta Cycle Tyre-20InX2.125 (D-2035)-IC,TYRE,205,804388
Diganta,RFL-Tyre and Tube for IC,804389,Duranta Cycle Tyre-24InX1.95 (D-2497)-IC,TYRE,235,804389
Pride,Trading Toys-Pride,79668,Pull Back Car-005(Trading),DPL,50,79668
Pride,Trading-Pride,79669,Pulling String Motorbike-359 (Trading),DPL,55,79669
Decent,Decent -Rickshaw and Van,804394,Van Axel,BCYCL,815,804394
Decora,PVC Others Door,821126,ECO Panel Dew pink  6'x2.5',BBML,556,821126
Topper,TPR PC and NS Classic,805809,TPR Alu Belly Pot 1.5 Liter,RFL,705,8058090000006
Topper,TPR PC and NS Classic,805811,TPR Alu Belly Pot 3.5 Liter,RFL,970,8058110000009
Swift,CLK TULIP&PRIME GANG,807637,CLICK-PRIME-45A DP SWITCH,RPLE,705,807637
Swift,CLK TULIP&PRIME GANG,807639,CLICK-PRIME-TV SOCKET,RPLE,195,807639
Swift,CLK TULIP&PRIME GANG,807642,CLICK-PRIME-BLANK PLATE,RPLE,80,807642
Swift,CLK TULIP&PRIME GANG,807638,CLICK-PRIME-TV AND TELEPHONE SOCKET,RPLE,315,807638
VIGO-RAC,VG LED TV,824051,Vigo 24” LED TV E01,PIP(E),"14,500",824051
Swift,CLK MULTI PLUG & ADAPTER,807017,Click-Multi Plug With USB (CLK-807017),RPLE,885,807017
Sigma,Support Ind Item Roto,820711,Ice Pac 2000 ml (291x226x34 mm),BBMLT,280,820711
Premium,Storage Cont-Premium,91389,Tulip Container 16L,DPL,280,845944091604
Power,Mug,920796,Bably Mug -Dahlia,MLMN,110,845944068545
Power,Clearance Sales-2,920797,Bably Mug -Lily,MLMN,110,845944068552
Best Buy,Electronics (Local),903529,Roti Maker-NIYAMA,BBUY,"2,450",903529
Best Buy,Best Buy-Import,903646,LUNCH BOX 3PCS SET WOODEN-IMP,BBUY,"2,355",903646
