product_group,product_class,item_code,product_name,vendor_name,mrp,barcode
VIGO-RAC,VG Washing Machine,824414,Vigo Automatic Washing Machine 8kg,PIP(E),"21,100",824414
Power,Melamine -Topper,806736,"Topper Melamine Bowl 13""",MLMN,175,806736
Power,Melamine -Topper,806737,"Topper Melamine Coup Plate 9.5""",MLMN,75,806737
Power,Melamine B Grade,99431,"16"" Wave Handle Tray- Joba -B",MLMN,176,99431
Decent,Decent -Trading Direct Sales,804198,DURANTA PUMPER HD,BCYCL,493,804198
Power,Melamine B Grade,99430,"18"" Wave Handle Tray- Joba -B",MLMN,211,99430
Power,Melamine B Grade,99429,Milky Mug-Blue-B,MLMN,37,99429
Power,Melamine B Grade,99433,Single Handle Bowl Body with Lid -B,MLMN,37,99433
Power,Melamine B Grade,99434,"14"" Wave Handle Tray-Flora - B",MLMN,109,99434
Winner,Casserole - Stelo,920364,Aroma Stelo 2000  - Classic,DPLS,650,845944067111
Vision-RAC,VSN Refr.Special Pro,823207,VSN Refrigerator VIS-215 Blue Flower,DPLE,"26,900",823207
Premium,Acces-Premium,86817,Air Tight Round Container 13.5 CM - Trans,DPL,70,86817
Prominent,Food Cont-Prominent,86826,Container Box with Lid 11 cm -Trans Blue,DPL,49,86826
Popular,Food Cont-Popular,86834,Sq Cont. 11.5 cm-Trans Blue,DPL,34,86834
Popular,Food Cont-Popular,86837,Sq Cont. 15.5 cm-Trans Blue,DPL,86,86837
Winner,Stelo - Carrier,81104,Beauty Thermal Carrier 4 Star-Stelo,DPLS,"1,120",845944065292
Power,Clearance Sales-2,920825,Small Tea Cup Saucer -Camellia,MLMN,55,845944068835
VIGO-RAC,VG LED TV,824052,Vigo 32” LED TV E01,PIP(E),"20,500",824052
VIGO-RAC,VG LED TV,824054,Vigo 32” LED TV T01,PIP(E),"20,500",824054
VIGO-RAC,VIG Air Conditioning,824601,Vigo AC 1 Ton - Supreme,DPLE,"43,900",824601
Power,Clearance Sales-2,920751,"3"" Handy Mug",MLMN,105,845944066770
Power,Clearance Sales-2,920752,Fancy Tray-Racing Car,MLMN,140,845944066787
Power,Clearance Sales-2,920730,Fancy Tray- Police Car,MLMN,140,845944066022
Vision-Style,VS Microwave Oven,801533,Vision Microwave Oven - 20 Ltr (H5),PIP(E),"7,400",801533
Topper,TPR Pressure Cooker,80989,TPR Princess Pressure Cooker 5L,RFL,"1,755",8098900000000
TEL Household,Hand Fan-HH-TEL,803263,Hand Fan Red-TEL,TEL,35,803263
Power,Melamine B Grade,99765,Dinner Set 44 Pcs - B,MLMN,"1,148",99765
Vision-Style,VS Room Heater,801520,Vision Room Comforter - Simple,PIP(E),"2,120",801520
Regal,WOODEN SOFA,812100,Chair Cushion-303-00,BBML(F),"1,130",812100
Regal,WOODEN SOFA,812103,Chair Cushion-304&305-00,BBML(F),"1,130",812103
Prominent,PS Jug-Prominent,92572,Diamond Jug 2.5L-Tr. Pink,DPL,280,845944041425
Pacific,Service Bowl-Pacific,82473,Two Color Tulip PP Bowl 3 Pcs Set - Pink,DPL,130,845944048967
Regal,WOODEN SOFA,812010,SFC-307-3-4-20(Classic),BBML(F),"31,900",812010
Regal,LB SHOWCASE,811930,DAZZLING-SCH-104-1-1-20,BBML(F),"35,250",811930
Regal,WOODEN CUP BOARD,812300,BLUEBELL-CBH-304-3-1-20(CLASSIC),BBML(F),"41,150",812300
Regal,WOODEN DRESSING SET,812301,DTH-303-3-1-20(Classic),BBML(F),"10,000",812301
Regal,WOODEN DRESSING SET,812302,BLUEBELL-DTH-304-3-1-20(CLASSIC),BBML(F),"16,900",812302
Best Buy,Cosmetics,902845,ADIDAS DEO SPRAY (150ML) MEN,BBUY,215,902845
Best Buy,Cosmetics,902846,ADIDAS DEO SPRAY (150ML) WOMEN,BBUY,320,902846
Best Buy,Cosmetics,902847,PLAYBOY DEO SPRAY (150ML) MEN,BBUY,300,902847
Best Buy,Cosmetics,902848,PLAYBOY DEO SPRAY (150ML) WOMEN,BBUY,300,902848
Power,Maloti,75872,"9"" Meat Plate -Maloti",MLMN,110,845944060785
Power,Maloti,75873,"10"" Meat Plate -Maloti",MLMN,130,845944060792
Power,Maloti,75936,Design Rice Spoon -Maloti,MLMN,65,845944060662
Power,Clearance Sales-2,75938,"9.5"" Fry Spoon -Maloti",MLMN,50,845944060686
Power,Maloti,75941,Soup Spoon 6 Pcs Set -Maloti,MLMN,115,845944060716
Winner,Floor Brush,91228,Atlas Floor Brush,DPLS,45,845944060297
Winner,Floor Brush,91229,Marble Floor Brush,DPLS,45,845944060303
Goodluck,FILE,94096,Good Luck- PVC Zipper File - A4,DPLS,20,94096
Goodluck,SHARPENER,94531,Good Luck Sharpener Penguin,DPLS,16,845944066466
Best Buy,Toys and sports (Impor,903416,LIGHTING DOLL SET-C5AF601-IMP,BBUY,355,903416
Best Buy,Toys and sports (Impor,903417,WATER GUN-I5AB754-IMP,BBUY,125,903417
Best Buy,Toys and sports (Impor,903418,WATER GUN-I5AB755-IMP,BBUY,200,903418
Prominent,One Time Sweet Box-Prominent,914823,Sweet Box 250 ML 24 Pcs Set (Red),DPL,105,914823
Pacific,Baby Chair-Pacific,87041,Shulov Baby Chair,DPL,165,845944011923
Pride,Service Bowl-Pride,914008,Sunny Bowl With Lid 2 L,DPL,55,914008
Pride,Service Bowl-Pride,914009,Sunny Bowl With Lid 1.25 L,DPL,45,914009
Vision-RAC,Drinkit Stand,914010,Drinkit Stand (3 Step) - Blue,DPLE,"1,150",914010
Vision-RAC,Drinkit Stand,914013,Drinkit Stand (2 Step) - Brown,DPLE,725,914013
Goodluck,Good Luck Pad and Kh,78692,Spiral Pad-104 Page,DPLS,65,845944072627
Power,Tray,920847,"12.6"" Rtg Handle Tray -Oranzo",MLMN,265,845944069092
Goodluck,Good Luck Pad and Kh,920409,Angel Khata - Glue -120 Page-(English),DPLS,45,845944072665
Regal,METAL SWIVAL CHAIR,811540,CFV-205-6-1-66(1PART)(VISITOR),BBML(F),"5,130",811540
Pacific,Food Cont-Pacfic,76829,"Choco Box 3 Pcs Set (3, 1.35 & 0.40 L)",DPL,175,76829
Prominent,One Time Box(PS)-Prominent,914953,Dispo Lunch Box (Family size) 24 Pcs Set,DPL,75,845944092991
Pioneer,Others Chair-Pioneer,82349,Flexo Chair - Off White,DPL,"2,500",845944011978
Duranta,Complete Cycle-26',804415,Duranta Steel 1-Spd Master 26 Blue,BCYCL,"9,480",804415
Duranta,"Complete Cycle 20""",804430,Duranta Steel 1-Spd Energy 20 Red,BCYCL,"7,940",804430
Goodluck,Gel Ink Pen,97970,Gel Pen Glib - Blue,DPLS,35,97970
Vision-Style,PG VS Air Cooler,801996,PG VISION-Air Cooler with Heater 8.5 Lt,PIP(E),"10,500",801996
Vision-RAC,PG VSN Refrigeration,802826,PG Vision Refrigerator (Vis - 150TS) Silver,DPLE,"22,100",802826
Turbine,Gas Stove-Imported,80918,Single SS GS LPG ( NA-101 ),RFL,965,8091800000002
Turbine,Gas Stove-Imported,80919,Double SS GS NG ( NA-202 ),RFL,"1,850",8091900000001
Turbine,Gas Stove-Imported,80920,Double SS GS LPG ( NA-202 ),RFL,"1,850",8092000000007
Turbine,Gas Stove-Imported,80921,Double SS GS NG ( NA-203 ),RFL,"1,905",8092100000006
Turbine,Gas Stove-Imported,80922,Double SS GS LPG ( NA-203 ),RFL,"1,905",8092200000005
Turbine,Gas Stove-Imported,80923,Double SS GS NG ( NA-204 ),RFL,"2,240",8092300000004
Turbine,Gas Stove-Imported,80924,Double SS GS LPG ( NA-204 ),RFL,"2,240",8092400000003
Regal,WOODEN SOFA,99557,SFC-307-3-4-00,BBML(F),"31,900",99557
Vision-Style,VS LED TV,94811,Vision 22” LED TV T01,PIP(E),"10,550",94811
Vision-Style,VS LED TV,94812,Vision 24” LED TV T02,PIP(E),"14,000",94812
Pioneer,Others Chair-Pioneer,88769,Stelo Caino Chair - Sandal Wood,DPL,"1,750",88769
Pioneer,Others Chair-Pioneer,88793,Rodo Classic Chair - SM Blue,DPL,"1,580",845944010278
Decent,Decent-Frame,70173,"FRAME-STL-BOYS-20""X13""X56.5-RAW-S/SPD",BCYCL,867,70173
Decent,Decent-Frame,70174,"FRAME-STL-MTB-L-26""X17""X40-RAW-7/SPD",BCYCL,985,70174
Regal,METAL SOFA SET,812359,SOFA-SSC-201-7-1-66(1Part)//(Febric-113),BBML(F),"10,380",812359
Regal,METAL SOFA SET,812360,SOFA-SSC-201-7-1-66(1Part)//(Febric-116),BBML(F),"10,380",812360
Regal,WOODEN SOFA,812361,SSC-314-3-1-20(Classic)//(Febric-C-1),BBML(F),"17,250",812361
Best Buy,General Household L,903740,Rock powder-500 GM(Floor Cleaner),BBUY,0,903740
Safer,Playtime  Toys,820660,Rocker Dolphy  Red,BBMLT,"1,150",820660
Power,Clearance Sales-2,92285,"5"" Curry Bowl -Lilac",MLMN,105,845944067449
Goodluck,Good Luck Pad and Kh,920410,Angel Khata - Glue -120 Page-(Math),DPLS,45,845944072641
Pride,Service Bowl-Pride,914006,Sunny Bowl With Lid 5 L,DPL,105,914006
Pride,Service Bowl-Pride,914007,Sunny Bowl With Lid 3.5 L,DPL,75,914007
Vision-RAC,Drinkit Stand,914012,Drinkit Stand (2 Step) - Blue,DPLE,725,845944049186
Prominent,One Time Box(PS)-Prominent,914951,Dispo Pizza Box 24 Pcs Set,DPL,130,845944092977
DPL Corp Sales,KitchenWare-DPL Corp Sales,79410,Apple Shape Pot,DPL,35,79410
Vision-RAC,PG VSN Refrigeration,802971,PG Vision Mini - Refregerator (Vis - 90) Ltr,DPLE,"16,600",802971
Vision-RAC,PG VSN Refrigeration,802975,PG Vision Refrigerator(Vis - 200) Red,DPLE,"26,100",802975
